lokacija,sobno,nadstropje,leto,velikost,cena
"ZUPANČIČEVA JAMA, PENTHOUSE",4-sobno,3,1997,"206,00 ","765.000,00"
BIZOVIK,"1,5-sobno",3,2006,"67,14 ","295.000,00"
BRDO,"1,5-sobno",P,2004,"48,00 ","280.000,00"
BRDO,3-sobno,1,1998,"66,00 ","275.000,00"
BRDO,3-sobno,3,2013,"101,00 ","370.000,00"
"BRDO, 1. NADSTROPJE JV LEGA",4-sobno,1,2022,"146,45 ","649.000,00"
"BRDO, ATRIJSKO JZ LEGA",4-sobno,P,2022,"271,01 ","689.000,00"
"BRDO, PRITLIČJE",4-sobno,P,2022,"295,84 ","729.000,00"
BRINJE,5 in večsobno,1,2010,"150,00 ","450.000,00"
BRINJE,5 in večsobno,8,2014,"150,90 ","750.000,00"
BRINJE,4-sobno,1,2020,"191,00 ","634.900,00"
"BRINJE, BLIZU OBVOZNICE",4-sobno,2,2020,"185,63 ","634.900,00"
"BRINJE, MIRNA LOKACIJA BLIZU OTROŠKIH IGRIŠČ, ŠOLE IN VRTCA",3-sobno,3,2002,"87,60 ","261.000,00"
"BRINJE, PRIMERNO TUDI ZA INVESTICIJO",2-sobno,2,1945,"66,00 ","250.000,00"
BROD,"2,5-sobno",2,2017,"45,90 ","355.600,00"
BROD,"2,5-sobno",2,2017,"93,90 ","355.600,00"
"BROD, TACEN",4-sobno,P,2021,"137,70 ","451.000,00"
BS 3,3-sobno,4,1977,"78,50 ","309.000,00"
BTC,2-sobno,5,1973,"70,10 ","280.000,00"
ČRNUČE,"1,5-sobno",VP,1980,"46,10 ","170.000,00"
ČRNUČE,3-sobno,PK,1973,"69,30 ","188.500,00"
ČRNUČE,3-sobno,P,1985,"85,10 ","330.000,00"
ČRNUČE,"3,5-sobno",1,1985,"85,20 ","330.000,00"
ČRNUČE,3-sobno,P,2023,"87,22 ","319.411,00"
ČRNUČE,"4,5-sobno",VP,2018,"100,00 ","369.000,00"
ČRNUČE,"4,5-sobno",2,1973,"128,50 ","349.000,00"
ČRNUČE,5 in večsobno,2,1996,"129,00 ","375.000,00"
"ČRNUČE, CESTA 24. JUNIJA",3-sobno,3,2000,"74,00 ","285.000,00"
"ČRNUČE, CESTA 24. JUNIJA",3-sobno,VP,1985,"88,90 ","329.000,00"
"ČRNUČE, NADGORICA",5 in večsobno,1,1975,"128,40 ","339.000,00"
DOLGI MOST,"1,5-sobno",1,2006,"41,10 ","169.000,00"
DOLGI MOST,2-sobno,3,1990,"57,00 ","130.000,00"
DOLGI MOST,2-sobno,2,2004,"66,10 ","229.000,00"
DOLGI MOST,2-sobno,2,2004,"66,11 ","229.000,00"
DOLGI MOST,3-sobno,2,2022,"73,00 ","353.000,00"
DOLGI MOST,3-sobno,1,2008,"100,10 ","299.000,00"
DOLGI MOST,4-sobno,M,1985,"108,50 ","264.500,00"
DOLGI MOST,3-sobno,2,1990,"122,50 ","318.000,00"
DOLGI MOST,5 in večsobno,1,2007,"151,00 ","485.000,00"
"DOLGI MOST, CESTA V GORICE",1-sobno,P,2006,"48,80 ","162.500,00"
"DOLGI MOST, ZADNJA ENOTA",Drugo,1,2022,"75,00 ","353.000,00"
DRAVELJSKA GMAJNA,3-sobno,2,1981,"77,00 ","299.000,00"
DRAVLJE,Garsonjera,11,1983,"17,00 ","64.000,00"
DRAVLJE,Garsonjera,VP,1974,"28,00 ","130.000,00"
DRAVLJE,2-sobno,1,2022,"49,83 ","249.000,00"
DRAVLJE,2-sobno,12,1986,"50,60 ","175.000,00"
DRAVLJE,2-sobno,2,2022,"52,12 ","259.000,00"
DRAVLJE,2-sobno,P,2022,"72,14 ","380.000,00"
DRAVLJE,2-sobno,M,1927,"73,80 ","235.000,00"
DRAVLJE,3-sobno,1,2011,"74,40 ","395.000,00"
DRAVLJE,3-sobno,2,1981,"77,40 ","310.000,00"
DRAVLJE,"2,5-sobno",P,1927,"78,90 ","259.000,00"
DRAVLJE,3-sobno,P,2021,"80,00 ","259.000,00"
DRAVLJE,3-sobno,1,1927,"81,20 ","255.000,00"
DRAVLJE,2-sobno,3,2022,"97,41 ","335.000,00"
DRAVLJE,4-sobno,P,2017,"115,00 ","470.000,00"
"DRAVLJE, REGENTOVA CESTA",5 in večsobno,P+1+M,2022,"118,10 ","466.000,00"
FUŽINE,2-sobno,1,1981,"64,40 ","248.500,00"
FUŽINE,4-sobno,2,1985,"83,60 ","279.000,00"
FUŽINE,4-sobno,3,1981,"86,20 ","330.000,00"
FUŽINE,4-sobno,2,1981,"86,20 ","275.200,00"
FUŽINE,Drugo,1,1985,"87,00 ","335.000,00"
"FUŽINE, RUSJANOV TRG",3-sobno,5,1986,"74,00 ","210.000,00"
GALJEVICA,"1,5-sobno",P,1960,"40,05 ","142.500,00"
"GALJEVICA, JURČKOVA",4-sobno,1,2005,"106,21 ","450.000,00"
JARŠE,2-sobno,5,2010,"58,50 ","259.000,00"
JEŽICA,2-sobno,VP,1974,"55,00 ","200.000,00"
JEŽICA,"2,5-sobno",7,1978,"76,80 ","350.000,00"
JEŽICA,Drugo,M,1980,"119,80 ","245.000,00"
KODELJEVO,2-sobno,PK,1936,"37,50 ","133.100,00 &euro;<span class=""cena-old"">139.500,00"
KODELJEVO,2-sobno,PK,1960,"39,10 ","139.500,00 &euro;<span class=""cena-old"">145.000,00"
"KODELJEVO, BLIZU DIF - A",2-sobno,VP,1963,"42,00 ","170.000,00"
KOLEZIJA,4-sobno,1,2021,"117,59 ","688.000,00"
KOSEZE,3-sobno,2,1972,"59,00 ","220.000,00"
KOSEZE,"3,5-sobno",3,1975,"92,00 ","349.000,00"
ČRNUČE,3-sobno,K+P+M,2020,"158,16 ","370.000,00"
DRAVLJE,"2,5-sobno",1,2022,"75,12 ","311.000,00"
DRAVLJE,"2,5-sobno",2,2022,"75,77 ","320.000,00"
LJ. BEŽIGRAD,3-sobno,1,2021,"84,01 ","444.532,24"
LJ. BEŽIGRAD,3-sobno,2,2009,"84,90 ","620.000,00"
LJ. CENTER,3-sobno,8,1960,"73,70 ","285.000,00"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
"LJ. CENTER, POGLED NA VRT",3-sobno,1,1902,"86,60 ","339.000,00"
"LJ. CENTER, SLOVENIJA",4-sobno,4,1742,"365,00 ","1.590.000,00"
NOVO POLJE,4-sobno,P,2022,"90,99 ","355.000,00"
"RUDNIK, GALJEVICA BLIŽINA STRELIŠČA","2,5-sobno",P,1856,"100,50 ","199.000,00 &euro;<span class=""cena-old"">210.000,00"
VODMAT,2-sobno,PK,1932,"50,60 ","180.000,00"
"ZUPANČIČEVA JAMA, PENTHOUSE",4-sobno,3,1997,"206,00 ","765.000,00"
BIZOVIK,"1,5-sobno",3,2006,"67,14 ","295.000,00"
BRDO,"1,5-sobno",P,2004,"48,00 ","280.000,00"
